,country,time,"luminosity,pixel"
423,mexico,201403,"(0, 0)"
424,russia,201403,"(30611823.84469206, 42092.68443440157)"
425,saudiarab,201403,"(0, 0)"
426,uk,201403,"(0, 0)"
427,usa,201403,"(0, 0)"
428,indonesia,201403,"(511321.5599735677, 30102.7545946709)"
429,iran,201403,"(258315.19982308522, 8122.430474174283)"
430,spain,201403,"(0, 0)"
431,turkey,201403,"(0, 0)"
432,brazil,201404,"(0, 0)"
433,canada,201404,"(0, 0)"
434,china,201404,"(20120260.314848684, 269125.05904960923)"
435,france,201404,"(0, 0)"
436,germany,201404,"(0, 0)"
437,india,201404,"(12756881.064127589, 282684.554549604)"
438,italy,201404,"(0, 0)"
439,japan,201404,"(3041881.4493561517, 209663.2770989567)"
440,korea,201404,"(40241.0299134627, 29910.155977490213)"
441,mexico,201404,"(0, 0)"
442,russia,201404,"(877650.0401867758, 22697.75259946215)"
443,saudiarab,201404,"(0, 0)"
444,uk,201404,"(0, 0)"
445,usa,201404,"(0, 0)"
446,indonesia,201404,"(527554.6100884788, 26977.005196303548)"
447,iran,201404,"(292935.63025987335, 17365.92803756485)"
448,spain,201404,"(0, 0)"
449,turkey,201404,"(0, 0)"
450,brazil,201405,"(0, 0)"
451,canada,201405,"(0, 0)"
452,china,201405,"(18667550.249902282, 209356.0676888761)"
453,france,201405,"(0, 0)"
454,germany,201405,"(0, 0)"
455,india,201405,"(10387384.776879735, 197050.06579633526)"
456,italy,201405,"(0, 0)"
457,japan,201405,"(2803426.9101503417, 110861.63997744457)"
458,korea,201405,"(80055.91995539702, 38775.44916726548)"
459,mexico,201405,"(0, 0)"
460,russia,201405,"(0, 0)"
461,saudiarab,201405,"(0, 0)"
462,uk,201405,"(0, 0)"
463,usa,201405,"(0, 0)"
464,indonesia,201405,"(351471.60982388817, 20146.77181713546)"
465,iran,201405,"(215486.33992663212, 8822.96985550378)"
466,spain,201405,"(0, 0)"
467,turkey,201405,"(0, 0)"
468,brazil,201406,"(0, 0)"
469,canada,201406,"(0, 0)"
470,china,201406,"(9189395.408374999, 1033843.9424552664)"
471,france,201406,"(0, 0)"
472,germany,201406,"(0, 0)"
473,india,201406,"(8259344.737304827, 177707.05833881735)"
474,italy,201406,"(0, 0)"
475,japan,201406,"(223296.0999837797, 71264.71496427144)"
476,korea,201406,"(0, 0)"
477,mexico,201406,"(0, 0)"
478,russia,201406,"(0, 0)"
479,saudiarab,201406,"(0, 0)"
480,uk,201406,"(0, 0)"
481,usa,201406,"(0, 0)"
482,indonesia,201406,"(430898.34979874827, 24708.822741275504)"
483,iran,201406,"(125847.94981134124, 91998.38489313066)"
484,spain,201406,"(0, 0)"
485,turkey,201406,"(0, 0)"
486,brazil,201407,"(0, 0)"
487,canada,201407,"(0, 0)"
488,china,201407,"(15324859.938553566, 213191.1891893009)"
489,france,201407,"(0, 0)"
490,germany,201407,"(0, 0)"
491,india,201407,"(7954309.277490787, 110517.69243097636)"
492,italy,201407,"(0, 0)"
493,japan,201407,"(2599955.2698143143, 260140.03914411203)"
494,korea,201407,"(11266.010001646355, 23533.11119677021)"
495,mexico,201407,"(0, 0)"
496,russia,201407,"(0, 0)"
497,saudiarab,201407,"(0, 0)"
498,uk,201407,"(0, 0)"
499,usa,201407,"(0, 0)"
500,indonesia,201407,"(393291.82977868617, 12568.42090346101)"
501,iran,201407,"(243242.92020726204, 7397.363051073268)"
502,spain,201407,"(0, 0)"
503,turkey,201407,"(0, 0)"
504,brazil,201408,"(0, 0)"
505,canada,201408,"(0, 0)"
506,china,201408,"(25623261.218456186, 631109.8567035369)"
507,france,201408,"(0, 0)"
508,germany,201408,"(0, 0)"
509,india,201408,"(8611912.777810272, 120246.38282066867)"
510,italy,201408,"(0, 0)"
511,japan,201408,"(3117787.660071289, 208105.7664511148)"
512,korea,201408,"(197869.71000378393, 348109.22234563855)"
513,mexico,201408,"(0, 0)"
514,russia,201408,"(300080.1802691426, 219647.39658413743)"
515,saudiarab,201408,"(0, 0)"
516,uk,201408,"(0, 0)"
517,usa,201408,"(0, 0)"
518,indonesia,201408,"(390063.7496552747, 9237.622815186662)"
519,iran,201408,"(307727.41010443866, 7142.241020551496)"
520,spain,201408,"(0, 0)"
521,turkey,201408,"(0, 0)"
522,brazil,201409,"(0, 0)"
523,canada,201409,"(0, 0)"
524,china,201409,"(23448326.318721145, 491244.07041604974)"
525,france,201409,"(0, 0)"
526,germany,201409,"(0, 0)"
527,india,201409,"(10915889.037296865, 201364.19640510844)"
528,italy,201409,"(0, 0)"
529,japan,201409,"(2952016.4894836694, 155648.86189706958)"
530,korea,201409,"(59694.71986346319, 40953.58027246266)"
531,mexico,201409,"(0, 0)"
532,russia,201409,"(5039973.018819859, 25164.952780261825)"
533,saudiarab,201409,"(0, 0)"
534,uk,201409,"(0, 0)"
535,usa,201409,"(0, 0)"
536,indonesia,201409,"(362648.2199750934, 4862.943570007896)"
537,iran,201409,"(343565.06025004387, 10419.632496564373)"
538,spain,201409,"(0, 0)"
539,turkey,201409,"(0, 0)"
540,brazil,201410,"(0, 0)"
541,canada,201410,"(0, 0)"
542,china,201410,"(25631401.70409405, 506046.22490225313)"
543,france,201410,"(0, 0)"
544,germany,201410,"(0, 0)"
545,india,201410,"(12064402.166925484, 116230.93250345616)"
546,italy,201410,"(0, 0)"
