year,country,pixels,luminosity,lum/pix
1992,Germany,1000532,6788293,6.784683548352277
1993,Germany,1000532,6039773,6.036561549255796
1994,Germany,1000532,13374541,13.367429527491375
1995,Germany,1000532,8244135,8.239751452227415
1996,Germany,1000532,7932958,7.9287399103676846
1997,Germany,1000532,14693802,14.685989053823366
1998,Germany,1000532,17121817,17.112713036664495
1999,Germany,1000532,16721533,16.712641874522753
2000,Germany,1000532,15983753,15.975254164784335
2001,Germany,1000532,15930670,15.92219938992456
2002,Germany,1000532,16786822,16.777896159243284
2003,Germany,1000532,14053627,14.046154445834816
2004,Germany,1000532,13153731,13.146736935950075
2005,Germany,1000532,14058334,14.050858943042302
2006,Germany,1000532,13788556,13.781224388625251
2007,Germany,1000532,14090451,14.08295886588335
2008,Germany,1000532,7776948,7.772812863556588
2009,Germany,1000532,7938896,7.934674753031388
2010,Germany,1000532,14107601,14.100099746934632
2011,Germany,1000532,8916635,8.911893872459851
2012,Germany,1000532,10071812,10.066456645064825
2013,Germany,1000532,8989156,8.984376311802121
1992,Ghana,397056,87320,0.21991860090264345
1993,Ghana,397056,106455,0.26811079545454547
1994,Ghana,397056,189705,0.4777789530947776
1995,Ghana,397056,153570,0.3867716392649903
1996,Ghana,397056,161101,0.4057387371050935
1997,Ghana,397056,292599,0.7369212403288201
1998,Ghana,397056,274829,0.6921668480012895
1999,Ghana,397056,339118,0.854081036428111
2000,Ghana,397056,344845,0.868504694551902
2001,Ghana,397056,338021,0.8513182019664732
2002,Ghana,397056,351294,0.8847467359767892
2003,Ghana,397056,300454,0.7567043439716312
2004,Ghana,397056,298007,0.7505414853320438
2005,Ghana,397056,282397,0.7112271316892328
2006,Ghana,397056,302158,0.7609959300451322
2007,Ghana,397056,287321,0.7236284050612508
2008,Ghana,397056,194982,0.49106926982591875
2009,Ghana,397056,167576,0.4220462604771115
2010,Ghana,397056,284391,0.7162490933268859
2011,Ghana,397056,241041,0.6070705391682786
2012,Ghana,397056,295002,0.7429732833655706
2013,Ghana,397056,277740,0.6994983075435203
1992,Guinea,556018,8892,0.015992288019452607
1993,Guinea,556018,13765,0.024756392778651052
1994,Guinea,556018,33115,0.0595574243999295
1995,Guinea,556018,15426,0.027743706139009887
1996,Guinea,556018,13994,0.025168249948742668
1997,Guinea,556018,26017,0.04679165063001558
1998,Guinea,556018,38241,0.0687765503994475
1999,Guinea,556018,37823,0.06802477617631084
2000,Guinea,556018,40234,0.07236096673129287
2001,Guinea,556018,39720,0.07143653622724444
2002,Guinea,556018,42341,0.07615041239672098
2003,Guinea,556018,26322,0.047340194022495674
2004,Guinea,556018,36410,0.06548349154164074
2005,Guinea,556018,27849,0.0500865079907485
2006,Guinea,556018,30730,0.055267994921027734
2007,Guinea,556018,33435,0.06013294533630206
2008,Guinea,556018,19322,0.03475067353934585
2009,Guinea,556018,16049,0.02886417346201022
2010,Guinea,556018,25831,0.046457129085749026
2011,Guinea,556018,23256,0.04182598405087605
2012,Guinea,556018,26330,0.04735458204590499
2013,Guinea,556018,28729,0.05166919056577305
1992,Hungary,269790,565347,2.095507617035472
1993,Hungary,269790,678796,2.5160161607175953
1994,Hungary,269790,1405185,5.208439897698209
1995,Hungary,269790,1037582,3.845887542162423
1996,Hungary,269790,933271,3.45924978687127
1997,Hungary,269790,1805488,6.692197635197746
1998,Hungary,269790,2132558,7.90451091589755
1999,Hungary,269790,1801736,6.678290522258052
2000,Hungary,269790,2001371,7.41825493902665
2001,Hungary,269790,2275232,8.433344453093147
2002,Hungary,269790,1934798,7.171496349012195
2003,Hungary,269790,2133332,7.907379813929352
2004,Hungary,269790,1572113,5.827172986396827
2005,Hungary,269790,1902498,7.051773601690203
2006,Hungary,269790,1654551,6.132736572890026
2007,Hungary,269790,1623258,6.016746358278661
2008,Hungary,269790,983464,3.6452944883057192
2009,Hungary,269790,848376,3.144579117091071
2010,Hungary,269790,1351945,5.011101226880166
2011,Hungary,269790,980521,3.6343860039289817
2012,Hungary,269790,1132597,4.19806886837911
2013,Hungary,269790,938904,3.480128989213833
1992,India,11590432,7923011,0.6835820269684513
1993,India,11590432,9159391,0.7902544961223188
1994,India,11590432,19506846,1.683012850599529
1995,India,11590432,11809796,1.018926300590004
1996,India,11590432,12201137,1.0526904432897755
1997,India,11590432,21376606,1.8443321180780836
1998,India,11590432,24323277,2.098565178588684
1999,India,11590432,24745904,2.135028616707298
2000,India,11590432,26441225,2.281297625489714
2001,India,11590432,26814822,2.313530850273743
2002,India,11590432,27108122,2.3388362055875054
2003,India,11590432,21094863,1.8200238783161835
2004,India,11590432,23865473,2.0590667371155793
2005,India,11590432,21716951,1.873696424775194
2006,India,11590432,23066583,1.9901400569021068
2007,India,11590432,26661612,2.3003121885361995
2008,India,11590432,15158007,1.307803453745296
2009,India,11590432,14461509,1.2477109567615772
2010,India,11590432,21892570,1.8888484915834025
2011,India,11590432,18633968,1.607702629203122
2012,India,11590432,20606112,1.7778553896869418
2013,India,11590432,20296790,1.7511676872786104
1992,Indonesia,10441980,914064,0.08753742106382123
1993,Indonesia,10441980,1369995,0.1312006918228152
1994,Indonesia,10441980,2781003,0.2663290870122333
1995,Indonesia,10441980,1768047,0.1693210483069303
1996,Indonesia,10441980,1825001,0.17477537784979477
1997,Indonesia,10441980,3714569,0.3557341615287522
