Year,country,pixels,luminosity,lum/pix,population,gdppercapitagrowth
2003,Cote d'Ivoire,539418.0,308361.0,0.5716550059508582,17599610,-3.42246201
2004,Cote d'Ivoire,539418.0,350521.0,0.6498133173160703,17970494,-0.857498876
2005,Cote d'Ivoire,539418.0,311698.0,0.5778413030340107,18354514,-0.40700257799999995
2006,Cote d'Ivoire,539418.0,357365.0,0.6625010659636867,18754916,-0.6514372079999999
2007,Cote d'Ivoire,539418.0,357522.0,0.6627921203964272,19171237,-0.44488435299999995
2008,Cote d'Ivoire,539418.0,207314.0,0.38432903610928815,19605569,0.271158496
2009,Cote d'Ivoire,539418.0,207897.0,0.38540983059519707,20059147,0.916728923
2010,Cote d'Ivoire,539418.0,326640.0,0.6055415280913874,20532950,-0.33644414899999997
2011,Cote d'Ivoire,539418.0,223896.0,0.4150695749863742,21028655,-6.641118189
2012,Cote d'Ivoire,4672928.0,271564.4475022076,0.2715609465141988,21547188,8.042352488999999
2013,Cote d'Ivoire,4672928.0,246015.5524977925,0.27010623515745996,22087505,6.225706887
2014,Cote d'Ivoire,4672928.0,251503.7251946903,0.0603501160915535,22647683,6.10311564
2015,Cote d'Ivoire,4672928.0,425730.5846305149,0.09763441823270023,23226143,6.13206803
2016,Cote d'Ivoire,4672928.0,223456.78094276093,0.05434810958686749,23822714,4.495214422
2017,Cote d'Ivoire,4672928.0,473448.4855784645,0.10784598172093496,24437469,4.65887166
2018,Cote d'Ivoire,4672928.0,526598.9887079444,0.11922011441236095,25069229,4.102226343
1992,Dominican Republic,119900.0,106550.0,0.8886572143452878,7408342,9.150154026000001
1993,Dominican Republic,119900.0,132104.0,1.1017848206839032,7546463,5.399447566
1994,Dominican Republic,119900.0,279979.0,2.3351042535446207,7683707,0.767738446
1995,Dominican Republic,119900.0,174646.0,1.4565971643035862,7819247,3.853463633
1996,Dominican Republic,119900.0,187795.0,1.5662635529608009,7952763,4.19860256
1997,Dominican Republic,119900.0,355333.0,2.9635779816513765,8084407,7.112214795
1998,Dominican Republic,119900.0,359216.0,2.9959633027522936,8214426,5.0253871189999995
1999,Dominican Republic,119900.0,438892.0,3.6604837364470386,8343283,4.303868641
2000,Dominican Republic,119900.0,479527.0,3.999391159299416,8471321,3.0798740810000003
2001,Dominican Republic,119900.0,479035.0,3.9952877397831528,8598601,0.9428688059999999
2002,Dominican Republic,119900.0,502519.0,4.19115095913261,8724975,2.9815788139999997
2003,Dominican Republic,119900.0,422401.0,3.5229441201000835,8850317,-2.7428907710000003
