country,year,pixels,luminosity,lum/pix,lum_growth,population,gdpgrowth
Kenya,2000.0,1170411.0,190183.0,0.16249249195368126,-0.0002786013162598036,31964557,0.599695392
Kenya,2001.0,1170411.0,183511.0,0.1567919303560886,-0.03508199996845144,32848564,3.779906496
Kenya,2002.0,1170411.0,193183.0,0.16505569411087218,0.052705287421462466,33751739,0.54685953
Kenya,2003.0,1170411.0,139840.0,0.11947939655386015,-0.27612678134204355,34678779,2.932475546
Kenya,2004.0,1170411.0,188682.0,0.16121003647436669,0.34927059496567503,35635271,5.104299776
Kenya,2005.0,1170411.0,156222.0,0.13347618913356074,-0.1720354882818711,36624895,5.906666082
Kenya,2006.0,1170411.0,178425.0,0.1524464482989309,0.1421246687406383,37649033,6.472494299
Kenya,2007.0,1170411.0,165931.0,0.1417715657149497,-0.07002381953201625,38705932,6.850729771
Kenya,2008.0,1170411.0,102934.0,0.08794688361609725,-0.3796578095714484,39791981,0.232282746
Kenya,2009.0,1170411.0,99499.0,0.08501201714611363,-0.03337089785687917,40901792,3.306939815
Kenya,2010.0,1170411.0,154954.0,0.13239280902178807,0.5573422848470839,42030676,8.405699224
Kenya,2011.0,1170411.0,161310.0,0.1378233799921566,0.04101862488222311,43178257,6.10826372
Kenya,2012.0,4672928.0,186052.62592949488,0.15572208857748254,0.15338556772360598,44343410,4.563209131
Kenya,2013.0,4672928.0,169970.3740705051,0.1484642186257136,-0.08643926297005991,45519889,5.878680567000001
Kenya,2014.0,4672928.0,82280.84325169389,0.13160692810265906,-0.5159106773656735,46699981,5.357125644
Kenya,2015.0,4672928.0,294854.29914607754,0.17709734779121056,2.583510905984881,47878336,5.718507132999999
Kenya,2016.0,4672928.0,129787.12941750539,0.14177320632603665,-0.5598262267384954,49051686,5.878949298999999
Kenya,2017.0,4672928.0,928531.7307738048,0.3127034242442881,6.1542666437044,50221473,4.805696524
Kenya,2018.0,4672928.0,458461.648376573,0.21210908972913373,-0.5062509624797554,51393010,6.318450702000001
Lao PDR,1992.0,922745.0,8498.0,0.009209478241551024,-0.9814640984036688,4500351,5.559857768
Lao PDR,1993.0,922745.0,10789.0,0.01169228768511344,0.2695928453753824,4619944,5.912556556
Lao PDR,1994.0,922745.0,26519.0,0.028739250822274843,1.4579664473074427,4735845,8.15901853
Lao PDR,1995.0,922745.0,18383.0,0.01992208031471317,-0.30679889890267353,4846483,7.031254327999999
Lao PDR,1996.0,922745.0,20481.0,0.022195731215016067,0.11412718272316814,4951195,6.928323725
Lao PDR,1997.0,922745.0,43387.0,0.04701949075855194,1.11840242175675,5050315,6.872091273
Lao PDR,1998.0,922745.0,40003.0,0.04335217205186698,-0.07799571300159032,5144602,3.9676080910000002
Lao PDR,1999.0,922745.0,41600.0,0.045082877718112806,0.039922005849561286,5235346,7.306376072999999
Lao PDR,2000.0,922745.0,51493.0,0.0558041495754515,0.2378125,5323700,5.798782326
Lao PDR,2001.0,922745.0,52179.0,0.05654758356859154,0.013322199133862856,5409582,5.751412882
Lao PDR,2002.0,922745.0,55450.0,0.06009244157378257,0.06268805458134498,5493246,5.918743682000001
Lao PDR,2003.0,922745.0,52291.0,0.05666896054706338,-0.0569702434625789,5576640,6.067002304
Lao PDR,2004.0,922745.0,48935.0,0.0530319860849964,-0.06417930427798282,5662208,6.35769548
Lao PDR,2005.0,922745.0,48992.0,0.05309375829725439,0.0011648104628588945,5751676,7.107568369
Lao PDR,2006.0,922745.0,64148.0,0.0695186644197476,0.30935662965382105,5846074,8.619266209
Lao PDR,2007.0,922745.0,71097.0,0.07704945570011218,0.10832761738479764,5944948,7.596828801
Lao PDR,2008.0,922745.0,43348.0,0.0469772255606912,-0.390297762212189,6046620,7.824902763
Lao PDR,2009.0,922745.0,33483.0,0.03628629794797046,-0.2275768201531789,6148623,7.501774912999999
Lao PDR,2010.0,922745.0,109914.0,0.1191163322478041,2.2826807633724577,6249165,8.526905517000001
Lao PDR,2011.0,922745.0,82427.0,0.08932803754016548,-0.25007733318776504,6347567,8.038652681
Lao PDR,2012.0,3686856.0,97185.86410528603,0.10785535134842916,0.1790537579347307,6444530,8.026098434
Lao PDR,2013.0,3686856.0,98375.13589471397,0.10407860657060587,0.012237086127459084,6541304,8.026300226
Lao PDR,2014.0,3686856.0,96638.46735647434,0.10572258558484417,-0.017653531275405757,6639756,7.611963441
Lao PDR,2015.0,3686856.0,89621.67235896314,0.10422100135382,-0.07260871565386126,6741164,7.270065842999999
Lao PDR,2016.0,3686856.0,82072.36957390764,0.10260546120745878,-0.08423523670500327,6845846,7.022836255
Lao PDR,2017.0,3686856.0,290166.0824939051,0.14713722221896966,2.5354904945519503,6953035,6.892530872999999
Lao PDR,2018.0,3686856.0,156531.0692164312,0.11853951789365715,-0.4605466363570624,7061507,6.247960008
Montenegro,1992.0,45372.0,21264.0,0.4686590848981751,-0.8641547642493973,608516,0.0
Montenegro,1993.0,45372.0,23374.0,0.5151635369831614,0.09922874341610233,610170,0.0
Montenegro,1994.0,45372.0,47815.0,1.053843780305034,1.0456490117224266,611389,0.0
Montenegro,1995.0,45372.0,32821.0,0.7233756501807282,-0.3135836034717139,611712,0.0
Montenegro,1996.0,45372.0,33633.0,0.7412721502248083,0.024740257761798848,611003,0.0
Montenegro,1997.0,45372.0,62739.0,1.3827691087014018,0.8654000535188654,609520,0.0
Montenegro,1998.0,45372.0,78079.0,1.7208630873666582,0.2445050128309345,607662,4.900006713
Montenegro,1999.0,45372.0,78507.0,1.730296217931764,0.005481627582320471,606001,-9.400001407000001
Montenegro,2000.0,45372.0,96163.0,2.1194348937670813,0.22489714292992985,604950,3.1000001839999998
Montenegro,2001.0,45372.0,85716.0,1.8891827558846863,-0.10863845761883467,607389,1.099842719
Montenegro,2002.0,45372.0,90554.0,1.9958123953098827,0.05644220448924355,609828,1.90393392
Montenegro,2003.0,45372.0,89368.0,1.9696729260336767,-0.013097157497183995,612267,2.482659361
Montenegro,2004.0,45372.0,78458.0,1.7292162567222076,-0.1220794915405962,613353,4.4260529580000005
Montenegro,2005.0,45372.0,98347.0,2.1675703076787447,0.2534986871956971,614261,4.180601527
Montenegro,2006.0,45372.0,98342.0,2.1674601075553204,-5.084039167437746e-05,615025,8.566419508
Montenegro,2007.0,45372.0,101232.0,2.2311557788944723,0.029387240446604707,615875,6.810150491
Montenegro,2008.0,45372.0,60270.0,1.3283522877545624,-0.4046348980559507,616969,7.222750274
Montenegro,2009.0,45372.0,51150.0,1.1273472626289345,-0.15131906421105026,618294,-5.79509379
Montenegro,2010.0,45372.0,81809.0,1.8030723794410648,0.5993939393939394,619428,2.73433925
Montenegro,2011.0,45372.0,85326.0,1.880587146257604,0.04299038003153687,620079,3.228451021
Montenegro,2012.0,180180.0,83649.6685102339,1.8778726125318823,-0.01964619799083637,620601,-2.723796788
Montenegro,2013.0,180180.0,86805.3314897661,1.8789597951204149,0.03772475176212009,621207,3.5489805519999997
Montenegro,2014.0,180180.0,84397.46333585457,1.878238577150937,-0.02773871273327733,621810,1.783712681
Montenegro,2015.0,180180.0,86429.7041324986,1.87867347381458,0.02407940613756196,622159,3.390359875
Montenegro,2016.0,180180.0,87642.47659616711,1.8789330054109723,0.014031894194723784,622303,2.949285705
Montenegro,2017.0,180180.0,100615.88914077275,1.881709297394201,0.14802653973807275,622373,4.7164643680000005
Montenegro,2018.0,180180.0,95535.29802468141,1.8806220580624395,-0.050494918441589584,622227,5.077887395
Myanmar,1992.0,2357003.0,71016.0,0.03012978770073691,-0.2566517144097555,42401684,9.660942452999999
Myanmar,1993.0,2357003.0,88363.0,0.037489557713757685,0.24426889714993805,42890002,6.039410227
Myanmar,1994.0,2357003.0,181813.0,0.07713736469575982,1.057569344635198,43383428,7.4779583579999995
Myanmar,1995.0,2357003.0,120159.0,0.05097957024237983,-0.3391066645399394,43901598,6.948051437
Myanmar,1996.0,2357003.0,143905.0,0.061054228611503676,0.19762148486588604,44452206,6.442715347
Myanmar,1997.0,2357003.0,273291.0,0.11594851597558425,0.8991070497897918,45027233,5.651582962999999
Myanmar,1998.0,2357003.0,259696.0,0.11018059798820792,-0.049745509365474894,45611220,5.8662131529999995
Myanmar,1999.0,2357003.0,250999.0,0.10649074269315736,-0.03348915655227652,46181077,10.94512998
Myanmar,2000.0,2357003.0,321503.0,0.13640330538399822,0.28089354937669075,46719701,13.74593056
Myanmar,2001.0,2357003.0,276054.0,0.11712076734734744,-0.1413641552333882,47225120,11.34399707
Myanmar,2002.0,2357003.0,253919.0,0.10772960407772074,-0.08018358726915749,47702171,12.02551343
Myanmar,2003.0,2357003.0,197254.0,0.08368848066803479,-0.22316171692547626,48148902,13.84399689
Myanmar,2004.0,2357003.0,198607.0,0.08426251472738898,0.006859176493252355,48564484,13.56466162
Myanmar,2005.0,2357003.0,198844.0,0.08436306614798539,0.0011933114139984994,48949924,13.56895002
Myanmar,2006.0,2357003.0,213042.0,0.09038681749662596,0.07140270765021826,49301050,13.07610138
Myanmar,2007.0,2357003.0,224268.0,0.09514964554563572,0.052693835018447065,49621475,11.99143524
Myanmar,2008.0,2357003.0,142262.0,0.06035715694888806,-0.3656607273440705,49929642,10.25530539
